emp_id,month,working_days,present_days,leaves_taken,overtime_hours
E001,2024-01,22,22.0,0,4.0
E001,2024-02,22,18.0,4,4.0
E001,2024-03,22,18.0,4,2.0
E001,2024-04,22,22.0,0,6.0
E001,2024-05,22,17.0,5,8.0
E001,2024-06,22,21.0,1,2.0
E002,2024-01,22,20.0,2,6.0
E002,2024-02,22,22.0,0,0.0
E002,2024-03,22,20.0,2,2.0
E002,2024-04,22,22.0,0,
E002,2024-05,22,19.0,3,8.0
E002,2024-06,22,21.0,1,4.0
E003,2024-01,22,18.0,4,0.0
E003,2024-02,22,17.0,5,6.0
E003,2024-03,22,22.0,0,0.0
E003,2024-04,22,22.0,0,6.0
E003,2024-05,22,19.0,3,8.0
E003,2024-06,22,18.0,4,4.0
E004,2024-01,22,21.0,1,8.0
E004,2024-02,22,18.0,4,0.0
E004,2024-03,22,18.0,4,0.0
E004,2024-04,22,22.0,0,0.0
E004,2024-05,22,20.0,2,0.0
E004,2024-06,22,18.0,4,
E005,2024-01,22,17.0,5,
E005,2024-02,22,17.0,5,2.0
E005,2024-03,22,20.0,2,0.0
E005,2024-04,22,18.0,4,0.0
E005,2024-05,22,21.0,1,
E005,2024-06,22,22.0,0,2.0
E006,2024-01,22,18.0,4,8.0
E006,2024-02,22,18.0,4,0.0
E006,2024-03,22,17.0,5,6.0
E006,2024-04,22,,2,4.0
E006,2024-05,22,,0,0.0
E006,2024-06,22,21.0,1,0.0
E007,2024-01,22,22.0,0,0.0
E007,2024-02,22,19.0,3,4.0
E007,2024-03,22,17.0,5,
E007,2024-04,22,,5,
E007,2024-05,22,22.0,0,4.0
E007,2024-06,22,19.0,3,0.0
E008,2024-01,22,,3,8.0
E008,2024-02,22,18.0,4,0.0
E008,2024-03,22,22.0,0,2.0
E008,2024-04,22,18.0,4,
E008,2024-05,22,20.0,2,8.0
E008,2024-06,22,21.0,1,4.0
E009,2024-01,22,18.0,4,0.0
E009,2024-02,22,17.0,5,0.0
E009,2024-03,22,21.0,1,0.0
E009,2024-04,22,18.0,4,0.0
E009,2024-05,22,21.0,1,2.0
E009,2024-06,22,18.0,4,4.0
E010,2024-01,22,17.0,5,8.0
