order_id,customer_id,product_id,order_date,quantity,amount_inr,order_status,payment_method,payment_status
O0001,C041,P028,2024-04-21,9,116991.0,Processing,Debit Card,Paid
O0002,C008,P021,2022-03-08,1,2499.0,Shipped,EMI,Failed
O0003,C002,P010,2023-02-15,6,29994.0,Shipped,Debit Card,Paid
O0004,C048,P027,2023-05-19,1,1299.0,Returned,UPI,Pending Refund
O0005,C018,P021,2022-03-17,1,4999.0,Pending,Credit Card,Paid
O0006,C016,P017,2023-08-14,10,14990.0,Cancelled,Cash on Delivery,Pending Refund
O0007,C015,P020,2023-10-07,8,,Delivered,UPI,Paid
O0008,C009,P007,2023-12-04,9,206991.0,Shipped,Credit Card,Failed
O0009,C048,P005,2022-02-24,9,35991.0,Shipped,Credit Card,Paid
O0010,C007,P012,2022-06-05,3,74997.0,Delivered,UPI,Paid
O0011,C044,P025,2022-06-02,1,1299.0,Delivered,UPI,Paid
O0012,C048,P006,2024-04-10,9,13491.0,Delivered,Credit Card,Paid
O0013,C035,P018,2023-07-31,2,,Delivered,Cash on Delivery,Paid
O0014,C006,P025,2022-11-08,3,4497.0,Shipped,EMI,Failed
O0015,C038,P030,2022-03-29,2,49998.0,Pending,Debit Card,Paid
O0016,C028,P017,2022-09-12,10,249990.0,Delivered,Credit Card,Paid
O0017,C003,P030,2022-05-02,2,25998.0,Cancelled,Net Banking,Pending Refund
O0018,C002,P001,2023-07-26,4,9996.0,Cancelled,Debit Card,Pending Refund
O0019,C006,P020,2024-02-22,7,9093.0,Pending,UPI,Failed
O0020,C014,P011,2023-03-03,2,7998.0,Delivered,Debit Card,Paid
O0021,C015,P016,2023-09-13,10,229990.0,Shipped,Credit Card,Pending
O0022,C033,P001,2023-09-03,4,,Delivered,Net Banking,Paid
O0023,C039,P004,2024-03-20,10,399990.0,Pending,Cash on Delivery,Paid
O0024,C002,P030,2023-09-26,10,29990.0,Delivered,Credit Card,Paid
O0025,C036,P012,2022-08-20,1,2999.0,Cancelled,UPI,Refunded
O0026,C013,P029,2024-03-05,10,29990.0,Delivered,Debit Card,Paid
O0027,C046,P027,2023-06-20,2,9998.0,Delivered,EMI,Paid
O0028,C042,P026,2023-01-25,7,90993.0,Returned,Debit Card,Refunded
O0029,C045,P010,2023-04-07,10,7990.0,Processing,EMI,Paid
O0030,C035,P008,2023-03-30,10,5990.0,Processing,EMI,Pending
O0031,C027,P002,2022-11-01,9,11691.0,Delivered,Credit Card,Paid
O0032,C015,P008,2024-05-30,6,7794.0,Delivered,Net Banking,Paid
O0033,C029,P029,2023-08-26,5,7495.0,Cancelled,Debit Card,Pending Refund
O0034,C038,P019,2023-03-16,4,19996.0,Delivered,Cash on Delivery,Paid
O0035,C018,P003,2022-11-09,6,,Delivered,Debit Card,Paid
O0036,C052,P003,2023-08-06,4,29996.0,Cancelled,Net Banking,Refunded
O0037,C001,P024,2023-09-28,5,124995.0,Shipped,Credit Card,Paid
O0038,C049,P016,2022-03-03,7,5593.0,Pending,Credit Card,Paid
O0039,C052,P027,2023-09-17,3,14997.0,Pending,UPI,Failed
O0040,C011,P003,2024-01-28,5,39995.0,Shipped,Cash on Delivery,Paid
O0041,C045,P025,2022-04-12,8,183992.0,Cancelled,Debit Card,Pending Refund
O0042,C028,P018,2024-02-21,6,239994.0,Cancelled,Credit Card,Pending Refund
O0043,C022,P025,2022-08-01,2,14998.0,Pending,Debit Card,Pending
O0044,C018,P005,2023-10-03,1,5999.0,Delivered,Debit Card,Paid
O0045,C010,P005,2022-08-05,8,7992.0,Returned,UPI,Pending Refund
O0046,C014,P022,2022-09-28,10,89990.0,Delivered,Debit Card,Paid
O0047,C049,P016,2023-11-08,10,,Delivered,Debit Card,Paid
O0048,C022,P018,2022-03-25,2,49998.0,Cancelled,Debit Card,Refunded
O0049,C007,P006,2022-06-10,2,17998.0,Pending,Credit Card,Pending
O0050,C006,P009,2022-09-03,9,11691.0,Cancelled,UPI,Refunded
O0051,C025,P017,2022-06-27,4,51996.0,Delivered,UPI,Paid
O0052,C007,P028,2023-07-20,9,143991.0,Delivered,Credit Card,Paid
O0053,C023,P020,2022-03-18,5,7495.0,Delivered,Net Banking,Paid
O0054,C055,P014,2022-06-10,3,8997.0,Delivered,Credit Card,Paid
O0055,C023,P007,2022-01-03,6,53994.0,Delivered,UPI,Paid
O0056,C039,P030,2023-02-23,2,1198.0,Returned,UPI,Pending Refund
O0057,C017,P018,2023-04-07,4,91996.0,Processing,Net Banking,Failed
O0058,C052,P025,2023-12-07,6,539994.0,Cancelled,Debit Card,Pending Refund
O0059,C003,P024,2023-09-01,5,4995.0,Processing,UPI,Pending
O0060,C047,P023,2023-04-27,3,22497.0,Delivered,Net Banking,Paid
O0061,C030,P007,2022-10-26,8,23992.0,Shipped,Cash on Delivery,Paid
O0062,C035,P023,2022-02-03,9,22491.0,Delivered,Debit Card,Paid
O0063,C008,P010,2022-08-26,5,39995.0,Cancelled,Credit Card,Pending Refund
O0064,C025,P013,2022-10-23,10,39990.0,Processing,Debit Card,Paid
O0065,C006,P022,2023-12-25,9,116991.0,Shipped,UPI,Pending
O0066,C036,P021,2022-10-17,1,2499.0,Returned,EMI,Pending Refund
O0067,C019,P012,2023-12-21,9,,Delivered,EMI,Paid
O0068,C054,P015,2024-05-30,5,6495.0,Delivered,Debit Card,Paid
O0069,C041,P029,2023-04-10,2,1198.0,Shipped,Debit Card,Paid
O0070,C040,P017,2022-03-14,3,3897.0,Delivered,Debit Card,Paid
O0071,C024,P015,2023-12-05,5,44995.0,Returned,UPI,Pending Refund
O0072,C037,P004,2022-08-28,2,31998.0,Processing,Debit Card,Paid
O0073,C013,P008,2022-09-28,2,15998.0,Delivered,UPI,Paid
O0074,C046,P008,2024-03-17,9,22491.0,Cancelled,Credit Card,Pending Refund
O0075,C005,P003,2024-03-21,3,4497.0,Shipped,Debit Card,Failed
O0076,C003,P011,2023-10-03,5,4995.0,Shipped,Cash on Delivery,Failed
