txn_id,txn_date,emp_id,amount_inr,txn_type,txn_status,category,description
TXN00001,2023-02-18,E002,29394.9,Refund,Success,Purchase,Transaction reference 0
TXN00002,2023-01-25,E005,99919.21,Credit,Failed,salary,Transaction reference 1
TXN00003,2022-07-24,E038,26162.99,Credit,Processing,utilities,Transaction reference 2
TXN00004,2023-09-06,E033,96189.63,Credit,Failed,Purchase,Transaction reference 3
TXN00005,2022-07-03,E003,,Debit,Success,Purchase,Transaction reference 4
TXN00006,2022-08-24,E034,111580.91,Refund,Success,Transfer,Transaction reference 5
TXN00007,2022-09-12,E048,130008.24,Credit,Success,Vendor Payment,Transaction reference 6
TXN00008,2022-05-17,E021,35069.87,Credit,Pending,Refund,Transaction reference 7
TXN00009,2024-02-18,E033,129145.56,Credit,Pending,utilities,Transaction reference 8
TXN00010,2022-03-30,E019,52157.69,Debit,Success,salary,Transaction reference 9
TXN00011,2022-09-15,E030,60285.14,Debit,Success,Transfer,Transaction reference 10
TXN00012,2024-01-17,E003,17293.66,Transfer,Success,Purchase,Transaction reference 11
TXN00013,2023-01-28,E048,79996.39,Credit,Success,Vendor Payment,Transaction reference 12
TXN00014,2023-06-28,E003,693.22,Debit,Success,Refund,Transaction reference 13
TXN00015,2023-12-02,E031,46924.95,Refund,Success,Salary,Transaction reference 14
TXN00016,2023-12-19,E012,101008.93,Refund,Pending,salary,Transaction reference 15
TXN00017,2023-07-06,E011,112257.95,Transfer,Pending,Purchase,Transaction reference 16
TXN00018,2022-04-02,E019,25520.27,Credit,Success,Transfer,Transaction reference 17
TXN00019,2023-10-01,E041,117838.3,Debit,Success,Salary,Transaction reference 18
TXN00020,2023-05-17,E025,66895.47,Refund,Failed,Salary,Transaction reference 19
TXN00021,2022-07-24,E022,31191.84,Credit,Pending,Salary,Transaction reference 20
TXN00022,2023-03-08,E003,112412.25,Credit,Success,Salary,Transaction reference 21
TXN00023,2024-01-10,E013,110969.36,Transfer,Success,Salary,Transaction reference 22
TXN00024,2023-09-20,E043,70469.66,Credit,Failed,Salary,Transaction reference 23
TXN00025,2023-08-26,E018,79889.14,Credit,Success,Refund,Transaction reference 24
TXN00026,2022-08-10,E037,93160.66,Credit,Success,PURCHASE,Transaction reference 25
TXN00027,2024-03-22,E031,94938.43,Refund,Success,Transfer,Transaction reference 26
TXN00028,2024-03-18,E037,114873.72,Debit,Pending,Transfer,Transaction reference 27
TXN00029,2023-01-18,E038,115455.97,Credit,Success,Transfer,Transaction reference 28
TXN00030,2024-04-22,E038,30442.55,Debit,Success,Salary,Transaction reference 29
TXN00031,2023-02-02,E047,3582.36,Debit,Failed,Purchase,Transaction reference 30
TXN00032,2024-06-01,E026,16220.15,Credit,Success,Salary,Transaction reference 31
TXN00033,2023-11-30,E003,46471.41,Debit,Success,Salary,Transaction reference 32
TXN00034,2022-08-06,E013,87286.39,Credit,Processing,Salary,Transaction reference 33
TXN00035,2022-06-05,E039,144190.12,Credit,Processing,Vendor Payment,Transaction reference 34
TXN00036,2023-04-18,E006,62807.56,Debit,Success,PURCHASE,Transaction reference 35
TXN00037,2023-11-08,E032,55699.36,Credit,Success,Purchase,Transaction reference 36
TXN00038,2022-07-03,E034,83805.69,Refund,Success,Refund,Transaction reference 37
TXN00039,2024-05-20,E010,142272.77,Transfer,Processing,Refund,Transaction reference 38
TXN00040,2023-08-04,E014,,Debit,Pending,Purchase,Transaction reference 39
TXN00041,2022-12-13,E011,44628.29,Debit,Success,Salary,Transaction reference 40
TXN00042,2022-03-26,E046,113621.18,Transfer,Failed,Purchase,Transaction reference 41
TXN00043,2024-01-04,E050,148777.22,Credit,Failed,Purchase,Transaction reference 42
TXN00044,2023-06-26,E031,119146.09,Transfer,Pending,Vendor Payment,Transaction reference 43
TXN00045,2023-11-25,E022,60067.76,Debit,Success,Purchase,Transaction reference 44
TXN00046,2024-03-04,E008,26251.81,Debit,Success,Refund,Transaction reference 45
